source_identifier,model,remote_files,parents,has_work_type,local_identifier,ark,acquisition_identifier,oclc,issn,isbn,title,alternative_title,abstract,table_of_contents,utk_creator,date_created,date_issued,date_other,date_created_d,date_issued_d,date_other_d,publisher,utk_publisher,publication_place,utk_place_of_publication,note,extent,instrumentation,first_line,intended_audience,rights_statement,spatial_local,spatial,coordinates,temporal,call_number,bibliographic_citation,provider,intermediate_provider,repository,archival_collection,subject,keyword,form,resource_type,form_local,language,sheetmusic_hostitem,is_part_of,photographer,utk_photographer,creator,contributor,utk_contributor
tenncities:124,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000224 | 0025 | tenncities:124 | record_spc_3880,,,,,,Knoxville High School,,"Knoxville High School was built on the site of the old J. Y. Johnston home in 1910 and expanded in 1914 and 1920. The school's last class graduated in 1951, after which the structure served as the city schools administration's headquarters. The building was repurposed again in the 1980s to house educational programs such as adult education and continuing education.",,,1915,,,1915,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh2005002657 | http://id.loc.gov/authorities/subjects/sh85060735 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640 | http://id.loc.gov/authorities/names/n87126861,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:343,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000443 | 0244 | tenncities:343 | record_spc_4099,,,,,,Cabin near Knoxville,,"Although somewhat idealized, this log cabin is of a design typical of the Great Smoky Mountains before the advent of Great Smoky Mountains National Park. This particular view shows the front of the cabin, including steps, a makeshift porch, and a firepit.",,,1911,,,1911,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Great Smoky Mountains (N.C. and Tenn.),http://id.loc.gov/authorities/subjects/sh85057008-781,"35.75035, -86.25027",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85078077 | http://id.loc.gov/authorities/subjects/sh85101268,W.D. Kuhlmann & Co.,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:154,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000254 | 0055 | tenncities:154 | record_spc_3910,,,,,,Market Square Dry Goods Company,,View of a building on Market Square housing Market Square Dry Goods Company and Endicott Johnson Shoe Store.,,,1925,,,1925,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85028921 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:165,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000265 | 0066 | tenncities:165 | record_spc_3921,,,,,,Corner of Melrose Street and Cumberland Avenue,,View of the intersection of Melrose Avenue and Cumberland Avenue showing the entrance to a residential neighborhood and a set of electric streetcar tracks.,,,1890-1947,,,1890/1947,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:252,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000352 | 0153 | tenncities:252 | record_spc_4008,,,,,,Gay Street Bridge,,View of Gay Street Bridge crossing the Tennessee River.,,,1890-1898,1978,,1890/1898,,,,Donning Company Publishers,,"253 West Bute Street, Norfolk, VA 23510",,,,,,http://rightsstatements.org/vocab/CNE/1.0/,,http://id.loc.gov/authorities/subjects/sh85133887 | http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,http://id.loc.gov/authorities/names/n78030817,,,,
tenncities:161,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000261 | 0062 | tenncities:161 | record_spc_3917,,,,,,University of Tennessee's Old College and West College,,View of Old College and West College on University of Tennessee's campus. Old College was completed in 1828 and West College and East College were added later on. All three buildings were razed in 1919.,,,1907,,,1907,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh2003010579 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640 | http://id.loc.gov/authorities/names/n80003889,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:241,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000341 | 0142 | tenncities:241 | record_spc_3997,,,,,,View of the Tennessee River,,View of the Tennessee River from Kingston Pike.,,,1900,,,1900,,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,,http://id.loc.gov/authorities/subjects/sh85133887 | http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85101229 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:394,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000494 | 0295 | tenncities:394 | record_spc_4150,,,,,,Southern Railway Station,,"Southern Railway Station was built in Knoxville in 1903-1904. It prospered until passenger traffic began to decline in the 1960s. The last passenger train to pass through the station was the ""Birmingham Special,"" which departed on August 12, 1970. The station was renovated in the early 1990s for use by Knoxville architectural firm Bullock, Smith, and Partners, Inc.",,,"Apr 12, 1910",,,"Apr 12, 1910",,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,,,,,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh87002049 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/names/n94062292 | http://id.loc.gov/authorities/names/n84038980,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
tenncities:521,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000621 | 0422 | tenncities:521 | record_spc_4277,,,,,,Market House and Market Street,,"Knoxville's original Market House was built in 1816. During the Civil War, the Union Army used the Market House to store ammunition and business was conducted outside. A new Market House was built in 1897 and merchants offered a wide variety of items, including baked goods, fresh meats, and homegrown fruits and vegetables from permanent stalls and wagons parked outside. After being partially destroyed by fire, this structure was demolished to make way for the Market Street Mall in 1960.",,,1897-1915,1978,,1897/1915,,,,Donning Company Publishers,,"253 West Bute Street, Norfolk, VA 23510",,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh2017003810 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,http://id.loc.gov/authorities/names/n78030817,,,,
tenncities:591,Image,,collections:tenncities,https://ontology.lib.utk.edu/works#ImageWork,0012_000067_000691 | 0492 | tenncities:591 | record_spc_4347,,,,,,Entrance to Technology and Lifestyle Building,,"View of the exterior of the Technology and Lifestyle Center at the World's Fair. The Knoxville International Energy Exposition (better known as the World's Fair) was held in Knoxville from May to October 1982 on a 67-acre area just west of the city's center. 19 nations in addition to the United States participated in the exposition which drew over 11 million visitors. While many of the buildings constructed for the event were eventually demolished, part of the site ultimately became a public park.",,,May 1982 - October 1982,,,"May 1, 1982/Oct 31, 1982",,,,,,,,,,,,http://rightsstatements.org/vocab/CNE/1.0/,Knoxville (Tenn.),http://id.loc.gov/authorities/names/n79109786,"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Photographs of Tennessee Cities Collection, MS.0951",http://id.loc.gov/authorities/subjects/sh85046347 | http://id.loc.gov/authorities/subjects/sh85101268 | http://id.loc.gov/authorities/subjects/sh00007640 | http://id.loc.gov/authorities/names/n82114257,,http://vocab.getty.edu/aat/300046300,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v8kd1w2w,,,,,
