headerdatestamp|headeridentifier|headersetSpec|metadata.mods.accessCondition#text|metadata.mods.accessCondition@type|metadata.mods.identifier.0#text|metadata.mods.identifier.0@type|metadata.mods.identifier.1|metadata.mods.language.languageTerm#text|metadata.mods.language.languageTerm@authority|metadata.mods.language.languageTerm@type|metadata.mods.location.holdingSimple.copyInformationshelfLocator|metadata.mods.locationphysicalLocation|metadata.mods.name.role.roleTerm#text|metadata.mods.name.role.roleTerm@authority|metadata.mods.name.role.roleTerm@type|metadata.mods.name.role.roleTerm@valueURI|metadata.mods.name@authority|metadata.mods.name@valueURI|metadata.mods.namenamePart|metadata.mods.originInfo.dateCreated.0|metadata.mods.originInfo.dateCreated.1#text|metadata.mods.originInfo.dateCreated.1@encoding|metadata.mods.originInfo.dateCreated.1@keyDate|metadata.mods.originInfo.dateCreated.1@point|metadata.mods.originInfo.dateCreated.1@qualifier|metadata.mods.originInfo.dateCreated.2#text|metadata.mods.originInfo.dateCreated.2@encoding|metadata.mods.originInfo.dateCreated.2@keyDate|metadata.mods.originInfo.dateCreated.2@point|metadata.mods.originInfo.place.0.placeTerm#text|metadata.mods.originInfo.place.0.placeTerm@type|metadata.mods.originInfo.place.0@supplied|metadata.mods.originInfo.place.1.placeTerm#text|metadata.mods.originInfo.place.1.placeTerm@type|metadata.mods.originInfo.place.1@supplied|metadata.mods.originInfo.place.2.placeTerm#text|metadata.mods.originInfo.place.2.placeTerm@type|metadata.mods.originInfo.place.2@supplied|metadata.mods.originInfo.place.3.placeTerm#text|metadata.mods.originInfo.place.3.placeTerm@type|metadata.mods.originInfo.place.3@supplied|metadata.mods.originInfo.place.placeTerm#text|metadata.mods.originInfo.place.placeTerm@type|metadata.mods.originInfo.place@supplied|metadata.mods.originInfodateIssued|metadata.mods.originInfopublisher|metadata.mods.physicalDescription.form#text|metadata.mods.physicalDescription.form@authority|metadata.mods.physicalDescription.form@valueURI|metadata.mods.recordInfo.languageOfCataloging.languageTerm#text|metadata.mods.recordInfo.languageOfCataloging.languageTerm@authority|metadata.mods.recordInfo.languageOfCataloging.languageTerm@type|metadata.mods.recordInforecordContentSource|metadata.mods.recordInforecordIdentifier|metadata.mods.recordInforecordOrigin|metadata.mods.relatedItem.0.titleInfotitle|metadata.mods.relatedItem.0@displayLabel|metadata.mods.relatedItem.0@type|metadata.mods.relatedItem.1.identifier#text|metadata.mods.relatedItem.1.identifier@type|metadata.mods.relatedItem.1.titleInfotitle|metadata.mods.relatedItem.1@displayLabel|metadata.mods.relatedItem.1@type|metadata.mods.subject.0.name@authority|metadata.mods.subject.0.name@valueURI|metadata.mods.subject.0.namenamePart|metadata.mods.subject.0@authority|metadata.mods.subject.0@valueURI|metadata.mods.subject.0topic|metadata.mods.subject.1.cartographicscoordinates|metadata.mods.subject.1.geographic#text|metadata.mods.subject.1.geographic@authority|metadata.mods.subject.1.geographic@valueURI|metadata.mods.subject.1.name@authority|metadata.mods.subject.1.name@valueURI|metadata.mods.subject.1.namenamePart|metadata.mods.subject.1@authority|metadata.mods.subject.1@valueURI|metadata.mods.subject.1geographic|metadata.mods.subject.1topic|metadata.mods.subject.2.cartographicscoordinates|metadata.mods.subject.2.name@authority|metadata.mods.subject.2.name@valueURI|metadata.mods.subject.2.namenamePart|metadata.mods.subject.2geographic|metadata.mods.subject.2topic|metadata.mods.subject.3.namenamePart|metadata.mods.subject.cartographicscoordinates|metadata.mods.subject.name@authority|metadata.mods.subject.name@valueURI|metadata.mods.subject.namenamePart|metadata.mods.subjectgeographic|metadata.mods.subjecttopic|metadata.mods.titleInfotitle|metadata.mods@version|metadata.mods@xmlns|metadata.mods@xmlns:xlink|metadata.mods@xmlns:xs|metadata.mods@xmlns:xsi|metadata.mods@xsi:schemaLocation|metadata.modsabstract|metadata.modsnote|metadata.modstypeOfResource
2018-05-03T23:05:40Z|oai:utklib:tenncities_595|collections_tenncities|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000067_000200_0001|local|https://digital.lib.utk.edu/collections/islandora/object/tenncities%3A595|zxx|iso639-2b|code|Box 2, Folder 1|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|    |    |unknown|1955|1955|edtf|yes|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_3856|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.0951|local|Photographs of Tennessee Cities Collection|Collection|host|    |    |    |    |    |Blount County (Tenn.)--Pictorial Works|    |    |    |    |    |    |    |    |    |    |Tennessee--Pictorial works|    |    |    |    |    |    |    |    |    |    |    |    |    |Aerial View of McGhee Tyson Airport|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Aerial image of the McGhee Tyson airport showing the original terminal (with apron) and traffic circle.|    |still image
2018-05-03T23:04:31Z|oai:utklib:tenncities_101|collections_tenncities|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000067_000201_0001|local|https://digital.lib.utk.edu/collections/islandora/object/tenncities%3A101|zxx|iso639-2b|code|Box 2, Folder 1|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|    |    |unknown|1950 - 1960|1950|edtf|yes|start|    |1960|edtf|yes|end|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_3857|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.0951|local|Photographs of Tennessee Cities Collection|Collection|host|    |    |    |    |    |Blount County (Tenn.)--Pictorial Works|    |    |    |    |    |    |    |    |    |    |Tennessee--Pictorial works|    |    |    |    |    |    |    |    |    |    |    |    |    |McGhee Tyson Field|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|View of McGhee Tyson Field showing small planes, cars, and a hanger.|    |still image
2018-05-03T23:04:31Z|oai:utklib:tenncities_102|collections_tenncities|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000067_000202_0001|local|https://digital.lib.utk.edu/collections/islandora/object/tenncities%3A102|zxx|iso639-2b|code|    |University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|    |    |unknown|1850 - 1859|1850|edtf|yes|start|    |1859|edtf|yes|end|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_3858|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.0951|local|Photographs of Tennessee Cities Collection|Collection|host|    |    |    |    |    |Knoxville (Tenn.)--Buildings, structures, etc.|    |    |    |    |    |    |    |    |    |    |Presbyterians--Tennessee--Knoxville|    |    |    |    |    |    |    |    |    |    |    |    |    |Second Presbyterian Church|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|The Second Presbyterian Church was organized in 1818 due to a split (brought on by disagreements over doctrine and renting pews) in the First Presbyterian Church's congregation. They built their first church on the west side of Prince (now Market) Street in 1820. The congregation grew quickly and moved to a larger building on the corner of Clinch Avenue and Market Street in 1860. The area around the church grew more congested as Knoxville grew, and the congregation sold their Market Street property and moved to a new building on the corner of Clinch and Walnut in 1905. The congregation eventually outgrew this building as well, and moved to a structure on Kingston Pike in 1957.|    |still image
2018-05-03T23:04:31Z|oai:utklib:tenncities_103|collections_tenncities|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000067_000203_0001|local|https://digital.lib.utk.edu/collections/islandora/object/tenncities%3A103|zxx|iso639-2b|code|Box 2, Folder 2|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|    |    |unknown|1925 - 1930|1925|edtf|yes|start|    |1930|edtf|yes|end|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_3859|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.0951|local|Photographs of Tennessee Cities Collection|Collection|host|    |    |    |    |    |Knoxville (Tenn.)--Pictorial Works|    |    |    |    |    |    |    |    |    |    |Tennessee--Pictorial works|    |    |    |    |    |    |    |    |    |    |    |    |    |Hotel Farragut|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Named after Admiral David Glasgow Farragut, the Hotel Farragut opened on the corner of Gay and Clinch (the site of the old Imperial Hotel) on February 1, 1919. It flourished until 1929 when the Andrew Johnson Hotel opened nearby, after which time the two hotels provided each other with stiff competition. The Farragut closed in 1977 and was converted into office space in 1978.|    |still image
2018-05-03T23:04:31Z|oai:utklib:tenncities_104|collections_tenncities|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000067_000204_0001|local|https://digital.lib.utk.edu/collections/islandora/object/tenncities%3A104|zxx|iso639-2b|code|Box 2, Folder 2|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|    |    |unknown|1912|1912|edtf|yes|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |253 West Bute Street, Norfolk, VA 23510|text|yes|1978|Donning Company|photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_3860|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.0951|local|Photographs of Tennessee Cities Collection|Collection|host|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |Hotel Imperial|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|"The Imperial Hotel was built on the corner of Gay and Clinch Streets in about 1894. It replaced several older businesses, including the Hotel Hattie. The Imperial burned down in 1916 and was replaced by the ""completely fireproof"" Farragut Hotel in 1919."|    |still image
2018-05-03T23:04:32Z|oai:utklib:tenncities_105|collections_tenncities|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000067_000205_0001|local|https://digital.lib.utk.edu/collections/islandora/object/tenncities%3A105|zxx|iso639-2b|code|Box 2, Folder 2|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|    |    |unknown|1940|1940|edtf|yes|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_3861|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.0951|local|Photographs of Tennessee Cities Collection|Collection|host|    |    |    |    |    |Knoxville (Tenn.)--Pictorial Works|    |    |    |    |    |    |    |    |    |    |Knox County (Tenn.)--Description and travel|    |    |    |    |    |    |    |    |    |    |    |    |    |Whittle Springs Hotel|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|The original Whittle Springs Hotel was built in about 1902 about three miles to the north of Knoxville. It advertised such conveniences as electric lights, baths, unexcelled cusine, and both telephone and telegraph connections. This structure burned in 1919, and the second Whittle Springs Hotel (shown) was constructed on the same site. This building was razed in 1964.|    |still image
2018-05-03T23:04:32Z|oai:utklib:tenncities_106|collections_tenncities|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000067_000206_0001|local|https://digital.lib.utk.edu/collections/islandora/object/tenncities%3A106|zxx|iso639-2b|code|Box 2, Folder 2|University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|    |    |unknown|1939|1939|edtf|yes|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |Knoxville, Tennessee|text|yes|1939|University of Tennessee|photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_3862|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.0951|local|Photographs of Tennessee Cities Collection|Collection|host|    |    |    |    |    |Knoxville (Tenn.)--Pictorial Works|    |    |    |    |    |    |Vestal (Knoxville, Tenn.)|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |Vestal Lumber Company|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|View of the Vestal Lumber Company showing logs moving down the river and the sawmill.|    |still image
2018-05-03T23:04:32Z|oai:utklib:tenncities_107|collections_tenncities|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000067_000207_0001|local|https://digital.lib.utk.edu/collections/islandora/object/tenncities%3A107|zxx|iso639-2b|code|    |University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|    |    |unknown|1930 - 1940|1930|edtf|yes|start|    |1940|edtf|yes|end|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_3863|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.0951|local|Photographs of Tennessee Cities Collection|Collection|host|    |    |    |    |    |Knoxville (Tenn.)--Pictorial Works|    |    |    |    |    |    |    |    |    |    |Knoxville (Tenn.)--Buildings, structures, etc.|    |    |    |    |    |    |    |    |    |    |    |    |    |Single-Family Home in Central Knoxville|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Side view of a single-family home in central Knoxville.|    |still image
2018-05-03T23:04:32Z|oai:utklib:tenncities_108|collections_tenncities|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000067_000208_0001|local|https://digital.lib.utk.edu/collections/islandora/object/tenncities%3A108|zxx|iso639-2b|code|    |University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|    |    |unknown|1880|1880|edtf|yes|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_3864|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.0951|local|Photographs of Tennessee Cities Collection|Collection|host|    |    |    |    |    |Knoxville (Tenn.)--Pictorial Works|    |    |    |    |    |    |    |    |    |    |Knoxville (Tenn.)--Buildings, structures, etc.|    |    |    |    |    |    |    |    |    |    |    |    |    |Mrs. Jane Kennedy's Home|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Four children playing on the front lawn of Mrs. Jane Kennedy's home. General James White built part of the house itself (the first in Knoxville) in 1786. It was originally located at one corner of a rectangular lot with smaller houses in the other three corners, a common frontier design intended to proctect against Indians. After the White family established a farm away from this location, the structure was repurposed as the kitchen wing of the Kennedy residence on State Street. In 1906, Isaiah Ford purchased the building and moved it to Woodlawn Pike, where he used it as a private residence. It changed hands again in 1970, when the City Association of Women's Clubs purchased the home and moved it back to central Knoxville. It currently stands near the Knoxville Coliseum and is one of the most visited historical sites in the city.|    |still image
2018-05-03T23:04:32Z|oai:utklib:tenncities_109|collections_tenncities|The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.|use and reproduction|0012_000067_000209_0001|local|https://digital.lib.utk.edu/collections/islandora/object/tenncities%3A109|zxx|iso639-2b|code|    |University of Tennessee, Knoxville. Special Collections|Creator|marcrelator|text|http://id.loc.gov/vocabulary/relators/cre|    |    |unknown|1925|1925|edtf|yes|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |photographs|aat|http://vocab.getty.edu/aat/300046300|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|record_spc_3865|Created and edited in general conformance to MODS Guidelines (Version 3.5).|Special Collections Online|Project|host|MS.0951|local|Photographs of Tennessee Cities Collection|Collection|host|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |Knoxville Street Corner|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|View of a street corner in central Knoxville showing several cars and a sign directing the traveller to the police station.|    |still image
